media_source_key,legacy_path,previous_owner_pages,new_owner,role,sha256,decision_id,final_action,notes
asset:images/banner1.jpg,images/banner1.jpg,1500-revolving-door.php|accesorios.php|accesspro-fs1000speed.php|automatismos-para-cancelas-cubic.php|barreras-estacionamiento-moovi50rm.php|bft-resp.php|bft.php|bix-al-antena-externa-433-mhz.php|blindadas.php|blue-giant.php|blue-giant.php|centros-comerciales.php|clopay.php|coleccion-classic.php|coleccion-modern-steel.php|com-programadores-digitales-y-rotativos.php|comercial.php|contacto.php|contra-exposion.php|contra-incendio.php|cortina-de-seguridad-670.php|cortina-de-seguridad-671.php|cortina-en-aluminio-serie-511-521.php|cortina-europea.php|cortina-plana.php|cortina-serie-600.php|cortina-serie-610.php|cortina-serie-620.php|cortina-serie-625.php|cortina-serie-630.php|cortina-serie-790-cw.php|cortinas-enrollables-de-aluminio.php|cortinas-enrollables-industriales.php|cortinas-ventiladas-685.php|cross-3e.php|detector-de-masas-max-eagle.php|ditec-neos-y-neos.php|dockman.php|dod-automatizacion-compacto-y-potente-para-portones-seccionales-correderos-y-enrollables.php|doorlock.php|dura-glide-20003000-puerta.php|energy-series-with-intellicore-37171-3-4.php|energy-series-with-intellicore-3720-3724-3722.php|equipos-y-accesorios-para-anden-de-carga.php|estacionamientos.php|fast-seal-high-performance-door.php|fire-rated-doors-firestar-models-700-700c.php|fotoceldas.php|fraccionamientos-y-condominios.php|glg-porte-industriali.php|gol-transmisores-de-cuatro-canales.php|icaro-smart.php|index-estatico.php|index-resp.php|index.php|industrial.php|infraca-quality-doors.php|kelley.php|kronos-puertas-rapidas-de-sectores-modulares-autorreparable.php|lab-4-fotocelulas-de-rayos-infrarrojos.php|lab-9-detectores-de-volumen-de-metal-loop.php|labio-de-elevacion-mecanico-dockman.php|labio-elevacion-anden-carga.php|lan-4-sistema-de-teclado-con-combinacion-digital.php|lan-7-sistema-de-mando-de-proximidad-de-tarjetas-con-tecnologia-transponder.php|lift-master-mod-h.php|lift-master.php|liftmaster-modh.php|light-communication-system-lcs.php|lux-2b-y-lux-gv-piston-hidraulico-para-puerta-abatible.php|luxo-robusto-e-incansable-para-servicios-intensivos-para-hojas-de-hasta-5-m.php|magic-fuerza-del-operador.php|marcas.php|marcasv1.php|nosotros.php|operador-comercial-rhx.php|operador-para-cortina-enrrollable-rsx.php|operador-para-perfilados-comerciales-jst.php|operador-para-perfilados-comerciales-sel.php|operadores-para-puerta-abatible.php|operadores-para-puerta-corrediza-industrial.php|operadores-para-puertas-ascendentes.php|operadores-para-puertas-corredizas-residenciales.php|operadores-para-puertas-de-mostrador-cdo.php|operadores-puerta-abatible-industrial.php|operadores-puerta-abatible.php|operadores-puerta-corrediza-residencial.php|operadores-puertas-ascendentes.php|operadores-puertas-seccionales-cortinas.php|overhead-door.php|p45-7-piston-hidraulico-para-puerta-abatible.php|pas-sensores-volumetricos.php|phobos-n-piston-electromecanico.php|politica-privacidad.php|predadoor-nxt-door.php|productos.php|puert-seccional-de-acero-sin-aislamiento-430-uso-medio.php|puerta-contra-explosion.php|puerta-contra-incendio.php|puerta-de-acero-acanalado-modelos-524.php|puerta-de-acero-acanalado.php|puerta-estandar-reforzada.php|puerta-estandar.php|puerta-holandesa.php|puerta-para-hospital.php|puerta-seccionabl-acero-perfiles-422-uso-pesado.php|puerta-seccional-de-acero-perfiles-418.php|puerta-seccional-de-acero-perfiles-432-uso-medio.php|puerta-seccional-de-acero-sin-aislamiento-416-uso-muy-pesado.php|puerta-seccional-de-acero-sin-aislamiento-424-uso-pesado.php|puerta-seccional-de-acero-thermacore-593-uso-medio.php|puerta-seccional-de-acero-thermacore-594-uso-medio.php|puerta-seccional-de-acero-thermacore-595-uso-pesado.php|puerta-seccional-de-acero-thermacore-599-uso-muy-pesado.php|puerta-seccional-de-acero-thermacore-serie-592.php|puerta-y-fijos-louver.php|puertas-blindadas.php|puertas-contra-incendio.php|puertas-contra-rayos-x.php|puertas-de-garaje-aisladas.php|puertas-enrollables-de-garage.php|puertas-industriales-dockman.php|puertas-peatonales-estandar-y-reforzada.php|puertas-peatonales-hospitales.php|puertas-peatonales-rayos-x.php|puertas-peatonales-tipo-holandesa.php|puertas-rapidas-enrollables.php|puertas-rapidas.php|puertas-residenciales.php|puertas-salida-emergencia.php|puertas-seccionales-de-acero-aisladas-thermospan-modelo-150.php|puertas-seccionales-de-acero-aisladas-thermospan.php|puertas-seccionales-de-acero-modelo-2415.php|puertas-seccionales-de-acero-perfiles-426.php|puertas-seccionales-de-acero-sin-aislamiento-420-uso-pesado.php|puertas-seccionales-de-acero-thermacore-598-uso-liviano.php|puertas-seccionales-de-aluminio-521.php|puertas-seccionales-industriales.php|puertas-y-fijos-louver.php|puertasresidenciales.php|q-silent-max-eagle-3-4-hp.php|qik-barreras-automaticas-de-hasta-58-m.php|rampa-niveladora-mecanica-blue-giant.php|rampa-niveladora.php|rampas-de-anden-hidraulicas-kelley.php|rampas-de-anden-hidraulicas.php|rampas-de-anden-mecanicas.php|rapida-apilable.php|rapida-enrollable-industrial.php|receptor-para-control-vehiculos.php|residencial.php|retenedor-de-vehiculos.php|retenedor-vehiculos-hvr303.php|retenedores-de-vehiculos-automatico.php|retenedores-de-vehiculos.php|rolli-zip.php|rytec.php|sector-puertas-rapidas-enrollables-de-sectores-intercambiables-y-contrapesos.php|sector-reset.php|sellos-de-anden.php|sellos-nacionales.php|sellos-para-anden-shelter-de-soporte-flexible.php|sellos-para-anden.php|semaforos-senalizaciones-para-anden.php|serie-620.php|serie-x130-motor-para-cortina-oculto.php|sg-onixx-600.php|shelter-abrigo-estacionario-blue-giant.php|smart-puertas-rapidas-enrollables-de-sectores-intercambiables-con-motor-externo.php|soluciones.php|sprint-automatizaciones-para-puertas-peatonales-pequenas-dimensiones.php|star1000-receptor-comercial.php|star4-vehicle-restraint.php|tiras-plasticas-hawaianas.php|tiras-plasticas.php|traffic.php|upper-up8e-barreras-automaticas-de-hasta-8-m.php|vertigo.php|wayne-dalton.php|wel-aotmatizacion-de-puertas-peatonales-pequena-y-robusta.php|xel-5-selector-de-llave.php,,standalone_attachment,4bc014975343535716668557e35bb56c8da81ffd1902d59cb4eea9408826e162,,MIGRATE,"R-M04: referencia pública literal (media-usage-evidence.csv PUBLIC_SOURCE) desde una página aprobada por R-G02-LOW."
asset:images/revolving.jpg,images/revolving.jpg,1500-revolving-door.php|comercial.php,static:1500-revolving-door.php,featured_image,5c387080f1adb199666ebbb9993bb04091fa641db6ef94fd586b3e9328e8e99b,Q04,MIGRATE,"Q04: parte de la ficha estatica static:1500-revolving-door.php."
asset:fichas/accesorios-doorlock.pdf,fichas/accesorios-doorlock.pdf,accesorios.php,sql:productos:27,datasheet,ae50b2e96f83184c1f742e2b5953ba76218ddcd686ee3ed4b686fe802a1e4cde,Q02,MIGRATE,"Q02: parte de la union de medios de accesorios.php (ganador sql:productos:27); ver 01-q02-duplicate-resolution.md."
asset:images/verficha.png,images/verficha.png,accesorios.php|accesspro-fs1000speed.php|barreras-estacionamiento-moovi50rm.php|coleccion-classic.php|coleccion-modern-steel.php|cortina-de-seguridad-670.php|cortina-de-seguridad-671.php|cortina-en-aluminio-serie-511-521.php|cortina-europea.php|cortina-plana.php|cortina-serie-600.php|cortina-serie-610.php|cortina-serie-620.php|cortina-serie-625.php|cortina-serie-630.php|cortina-serie-790-cw.php|cortinas-ventiladas-685.php|energy-series-with-intellicore-37171-3-4.php|energy-series-with-intellicore-37171-3-4.php|energy-series-with-intellicore-3720-3724-3722.php|fast-seal-high-performance-door.php|fire-rated-doors-firestar-models-700-700c.php|icaro-smart.php|kronos-puertas-rapidas-de-sectores-modulares-autorreparable.php|labio-de-elevacion-mecanico-dockman.php|lift-master-mod-h.php|lux-2b-y-lux-gv-piston-hidraulico-para-puerta-abatible.php|operador-comercial-rhx.php|operador-para-cortina-enrrollable-rsx.php|operador-para-perfilados-comerciales-jst.php|operador-para-perfilados-comerciales-sel.php|operadores-para-puertas-de-mostrador-cdo.php|operadores-puerta-abatible.php|operadores-puerta-corrediza-residencial.php|operadores-puertas-ascendentes.php|p45-7-piston-hidraulico-para-puerta-abatible.php|phobos-n-piston-electromecanico.php|predadoor-nxt-door.php|puert-seccional-de-acero-sin-aislamiento-430-uso-medio.php|puerta-contra-explosion.php|puerta-de-acero-acanalado-modelos-524.php|puerta-estandar-reforzada.php|puerta-estandar-reforzada.php|puerta-estandar.php|puerta-estandar.php|puerta-holandesa.php|puerta-seccionabl-acero-perfiles-422-uso-pesado.php|puerta-seccional-de-acero-perfiles-418.php|puerta-seccional-de-acero-perfiles-432-uso-medio.php|puerta-seccional-de-acero-sin-aislamiento-424-uso-pesado.php|puerta-seccional-de-acero-thermacore-593-uso-medio.php|puerta-seccional-de-acero-thermacore-594-uso-medio.php|puerta-seccional-de-acero-thermacore-595-uso-pesado.php|puerta-seccional-de-acero-thermacore-serie-592.php|puertas-blindadas.php|puertas-blindadas.php|puertas-contra-incendio.php|puertas-contra-incendio.php|puertas-contra-rayos-x.php|puertas-contra-rayos-x.php|puertas-industriales-dockman.php|puertas-seccionales-de-acero-aisladas-thermospan-modelo-150.php|puertas-seccionales-de-acero-aisladas-thermospan.php|puertas-seccionales-de-acero-modelo-2415.php|puertas-seccionales-de-acero-perfiles-426.php|puertas-seccionales-de-acero-sin-aislamiento-420-uso-pesado.php|puertas-seccionales-de-aluminio-521.php|q-silent-max-eagle-3-4-hp.php|rampa-niveladora-mecanica-blue-giant.php|rampas-de-anden-hidraulicas-kelley.php|rampas-de-anden-hidraulicas.php|rampas-de-anden-mecanicas.php|rapida-apilable.php|rapida-enrollable-industrial.php|retenedor-de-vehiculos.php|retenedores-de-vehiculos-automatico.php|rolli-zip.php|sellos-de-anden.php|sellos-nacionales.php|sellos-nacionales.php|serie-x130-motor-para-cortina-oculto.php|shelter-abrigo-estacionario-blue-giant.php|shelter-abrigo-estacionario-blue-giant.php|star4-vehicle-restraint.php,sql:productos:4,gallery,3f5aeebc29765caddc907536949a7c1802341f1771394b26a5d63c6ab9cfaf0f,Q02,MIGRATE,"Q02: parte de la union de medios de accesorios.php (ganador sql:productos:27); ver 01-q02-duplicate-resolution.md."
asset:images/accesorios.png,images/accesorios.png,accesorios.php,sql:productos:27,featured_image,026c47f3f0381ab83f7513b5126315782bcbdd65851d89cfaaef18fe39b6e650,Q02,MIGRATE,"Q02: parte de la union de medios de accesorios.php (ganador sql:productos:27); ver 01-q02-duplicate-resolution.md."
asset:fichas/13.0.Folleto-Operador-AccessPRO-FS1000-SPEED-hoja-tecnica.pdf,fichas/13.0.Folleto-Operador-AccessPRO-FS1000-SPEED-hoja-tecnica.pdf,accesspro-fs1000speed.php|operadores-puerta-abatible.php|operadores-puerta-corrediza-residencial.php|operadores-puertas-ascendentes.php|q-silent-max-eagle-3-4-hp.php,,,4cc48eb0ed373eb38e12e0d90e5c5231e218c287df2b8ee51e8e8a1cda96ecf0,,REVIEW,"Uso documental no equivale a aprobación de propósito/identidad de medios."
asset:images/accesspro.jpg,images/accesspro.jpg,accesspro-fs1000speed.php|q-silent-max-eagle-3-4-hp.php,,,b521a9678426851f5d6e1b90d1f9584dfb182dfea0a6463d90c761a173368090,,REVIEW,"Uso documental no equivale a aprobación de propósito/identidad de medios."
asset:images/piso.jpg,images/piso.jpg,automatismos-para-cancelas-cubic.php,static:automatismos-para-cancelas-cubic.php,featured_image,ffc865ba626561b3e5af5382e27a790f89966ad9a1d41566038c3c5518c3fadb,,MIGRATE,"Ensayo técnico privado autorizado en Prompt 6; no aprobación del catálogo productivo. Uso explícito en ficha o directorio; bytes y tipo se validan."
asset:fichas/moovi50rm.pdf,fichas/moovi50rm.pdf,barreras-estacionamiento-moovi50rm.php,,,b40a5af2a94250cc800336c668821dd1f54f3f28f1c6ef3ed8f4a35beb3ed1cd,,REVIEW,"Uso documental no equivale a aprobación de propósito/identidad de medios."
asset:images/moovi50rm.png,images/moovi50rm.png,barreras-estacionamiento-moovi50rm.php|bft-resp.php|bft.php|blue-giant.php|centros-comerciales.php|estacionamientos.php|fraccionamientos-y-condominios.php,,,ecc1028eb79cc3a6bf6320d9e06ed04ce2d721a44164cba9413898b9db4b3ad9,,REVIEW,"Uso documental no equivale a aprobación de propósito/identidad de medios."
