entity_key,source_type,legacy_id,legacy_file,legacy_url,action,planned_result,wordpress_id,confidence,notes,media_validation
"asset:fichas/13.0.Folleto-Operador-AccessPRO-FS1000-SPEED-hoja-tecnica (1).pdf",media,,"fichas/13.0.Folleto-Operador-AccessPRO-FS1000-SPEED-hoja-tecnica (1).pdf",,REVIEW,REVIEW,0,UNKNOWN,"Uso documental no equivale a aprobación de propósito/identidad de medios.",VALID_BYTES_REQUIRES_APPROVAL
asset:fichas/13.0.Folleto-Operador-AccessPRO-FS1000-SPEED-hoja-tecnica.pdf,media,,fichas/13.0.Folleto-Operador-AccessPRO-FS1000-SPEED-hoja-tecnica.pdf,,REVIEW,REVIEW,0,CONFIRMED,"Uso documental no equivale a aprobación de propósito/identidad de medios.",VALID_BYTES_REQUIRES_APPROVAL
asset:fichas/Abrigo-de-anden-BG400.pdf,media,,fichas/Abrigo-de-anden-BG400.pdf,,REVIEW,REVIEW,0,CONFIRMED,"Uso documental no equivale a aprobación de propósito/identidad de medios.",VALID_BYTES_REQUIRES_APPROVAL
asset:fichas/accesorios-doorlock.pdf,media,,fichas/accesorios-doorlock.pdf,,REVIEW,REVIEW,0,CONFIRMED,"Uso documental no equivale a aprobación de propósito/identidad de medios.",VALID_BYTES_REQUIRES_APPROVAL
asset:fichas/Alumina-Technical-Specifications-15.pdf,media,,fichas/Alumina-Technical-Specifications-15.pdf,,REVIEW,REVIEW,0,CONFIRMED,"Uso documental no equivale a aprobación de propósito/identidad de medios.",VALID_BYTES_REQUIRES_APPROVAL
asset:fichas/BGDSHS_Brochure_Sept2014_WEB.pdf,media,,fichas/BGDSHS_Brochure_Sept2014_WEB.pdf,,REVIEW,REVIEW,0,CONFIRMED,"Uso documental no equivale a aprobación de propósito/identidad de medios.",VALID_BYTES_REQUIRES_APPROVAL
asset:fichas/cdx-commercial-operator-sellsheet.pdf,media,,fichas/cdx-commercial-operator-sellsheet.pdf,,REVIEW,REVIEW,0,CONFIRMED,"Uso documental no equivale a aprobación de propósito/identidad de medios.",VALID_BYTES_REQUIRES_APPROVAL
asset:fichas/Clopay-3720-07.pdf,media,,fichas/Clopay-3720-07.pdf,,REVIEW,REVIEW,0,CONFIRMED,"Uso documental no equivale a aprobación de propósito/identidad de medios.",REVIEW_TYPE_LIMIT_OR_HASH
asset:fichas/CMDC-0524SP-14-1.pdf,media,,fichas/CMDC-0524SP-14-1.pdf,,REVIEW,REVIEW,0,CONFIRMED,"Uso documental no equivale a aprobación de propósito/identidad de medios.",REVIEW_TYPE_LIMIT_OR_HASH
asset:fichas/CMDC-3717-3718-11.pdf,media,,fichas/CMDC-3717-3718-11.pdf,,REVIEW,REVIEW,0,CONFIRMED,"Uso documental no equivale a aprobación de propósito/identidad de medios.",REVIEW_TYPE_LIMIT_OR_HASH
asset:fichas/commercial-aluminum-door-systems-brochure.pdf,media,,fichas/commercial-aluminum-door-systems-brochure.pdf,,REVIEW,REVIEW,0,CONFIRMED,"Uso documental no equivale a aprobación de propósito/identidad de medios.",REVIEW_TYPE_LIMIT_OR_HASH
asset:fichas/CONTRA_EXPLOSION.pdf,media,,fichas/CONTRA_EXPLOSION.pdf,,REVIEW,REVIEW,0,CONFIRMED,"Uso documental no equivale a aprobación de propósito/identidad de medios.",VALID_BYTES_REQUIRES_APPROVAL
asset:fichas/CORTINA-EUROPEA.pdf,media,,fichas/CORTINA-EUROPEA.pdf,,REVIEW,REVIEW,0,CONFIRMED,"Uso documental no equivale a aprobación de propósito/identidad de medios.",VALID_BYTES_REQUIRES_APPROVAL
asset:fichas/CORTINA-PLANA.pdf,media,,fichas/CORTINA-PLANA.pdf,,REVIEW,REVIEW,0,CONFIRMED,"Uso documental no equivale a aprobación de propósito/identidad de medios.",VALID_BYTES_REQUIRES_APPROVAL
asset:fichas/Cortina-serie-610-620.pdf,media,,fichas/Cortina-serie-610-620.pdf,,REVIEW,REVIEW,0,CONFIRMED,"Uso documental no equivale a aprobación de propósito/identidad de medios.",REVIEW_TYPE_LIMIT_OR_HASH
asset:fichas/Fast-Seal_LIT020520_ES-2.pdf,media,,fichas/Fast-Seal_LIT020520_ES-2.pdf,,REVIEW,REVIEW,0,CONFIRMED,"Uso documental no equivale a aprobación de propósito/identidad de medios.",VALID_BYTES_REQUIRES_APPROVAL
"asset:fichas/FICHATECNICASELLOSSOLMMER S.pdf",media,,"fichas/FICHATECNICASELLOSSOLMMER S.pdf",,REVIEW,REVIEW,0,UNKNOWN,"Uso documental no equivale a aprobación de propósito/identidad de medios.",VALID_BYTES_REQUIRES_APPROVAL
asset:fichas/fireking-fire-door-systems-brochure.pdf,media,,fichas/fireking-fire-door-systems-brochure.pdf,,REVIEW,REVIEW,0,CONFIRMED,"Uso documental no equivale a aprobación de propósito/identidad de medios.",VALID_BYTES_REQUIRES_APPROVAL
asset:fichas/Folleto-de-Cortina-Enrollable-Wayne-Dalton-Firestar-700-2.pdf,media,,fichas/Folleto-de-Cortina-Enrollable-Wayne-Dalton-Firestar-700-2.pdf,,REVIEW,REVIEW,0,CONFIRMED,"Uso documental no equivale a aprobación de propósito/identidad de medios.",VALID_BYTES_REQUIRES_APPROVAL
asset:fichas/Icaro-smart-AC-Aes.pdf,media,,fichas/Icaro-smart-AC-Aes.pdf,,REVIEW,REVIEW,0,UNKNOWN,"Uso documental no equivale a aprobación de propósito/identidad de medios.",REVIEW_TYPE_LIMIT_OR_HASH
asset:fichas/INFRACA-RAPIDA-ENROLLABLE.pdf,media,,fichas/INFRACA-RAPIDA-ENROLLABLE.pdf,,REVIEW,REVIEW,0,CONFIRMED,"Uso documental no equivale a aprobación de propósito/identidad de medios.",VALID_BYTES_REQUIRES_APPROVAL
asset:fichas/INFRACA-RÁPIDA-APILABLE.pdf,media,,fichas/INFRACA-RÁPIDA-APILABLE.pdf,,REVIEW,REVIEW,0,UNKNOWN,"Uso documental no equivale a aprobación de propósito/identidad de medios.",VALID_BYTES_REQUIRES_APPROVAL
asset:fichas/Kelley-Hydraulic-Dock-Leveler-Brochure_web.pdf,media,,fichas/Kelley-Hydraulic-Dock-Leveler-Brochure_web.pdf,,REVIEW,REVIEW,0,CONFIRMED,"Uso documental no equivale a aprobación de propósito/identidad de medios.",REVIEW_TYPE_LIMIT_OR_HASH
asset:fichas/Kelley-Vehicle-Restraint-Brochure_web.pdf,media,,fichas/Kelley-Vehicle-Restraint-Brochure_web.pdf,,REVIEW,REVIEW,0,CONFIRMED,"Uso documental no equivale a aprobación de propósito/identidad de medios.",VALID_BYTES_REQUIRES_APPROVAL
asset:fichas/Lift-Master-H-Sell-Sheet-Spanish.pdf,media,,fichas/Lift-Master-H-Sell-Sheet-Spanish.pdf,,REVIEW,REVIEW,0,CONFIRMED,"Uso documental no equivale a aprobación de propósito/identidad de medios.",VALID_BYTES_REQUIRES_APPROVAL
asset:fichas/lisos.pdf,media,,fichas/lisos.pdf,,REVIEW,REVIEW,0,CONFIRMED,"Uso documental no equivale a aprobación de propósito/identidad de medios.",REVIEW_TYPE_LIMIT_OR_HASH
asset:fichas/M-28R.pdf,media,,fichas/M-28R.pdf,,REVIEW,REVIEW,0,CONFIRMED,"Uso documental no equivale a aprobación de propósito/identidad de medios.",VALID_BYTES_REQUIRES_APPROVAL
asset:fichas/Minidock.pdf,media,,fichas/Minidock.pdf,,REVIEW,REVIEW,0,CONFIRMED,"Uso documental no equivale a aprobación de propósito/identidad de medios.",VALID_BYTES_REQUIRES_APPROVAL
