source,href,resolved_url,kind,local_file_exists
1500-revolving-door.php,#,https://puertasyserviciosindustriales.com/1500-revolving-door.php,internal,True
1500-revolving-door.php,comercial.php,https://puertasyserviciosindustriales.com/comercial.php,internal,True
1500-revolving-door.php,contacto.php,https://puertasyserviciosindustriales.com/contacto.php,internal,True
1500-revolving-door.php,equipos-y-accesorios-para-anden-de-carga.php,https://puertasyserviciosindustriales.com/equipos-y-accesorios-para-anden-de-carga.php,internal,True
1500-revolving-door.php,https://wa.me/+524771763046?text=,https://wa.me/+524771763046?text=,external,UNKNOWN
1500-revolving-door.php,index.php,https://puertasyserviciosindustriales.com/index.php,internal,True
1500-revolving-door.php,industrial.php,https://puertasyserviciosindustriales.com/industrial.php,internal,True
1500-revolving-door.php,mailto:administracion@puertasyserviciosindustriales.com,mailto:administracion@puertasyserviciosindustriales.com,external,UNKNOWN
1500-revolving-door.php,marcas.php,https://puertasyserviciosindustriales.com/marcas.php,internal,True
1500-revolving-door.php,nosotros.php,https://puertasyserviciosindustriales.com/nosotros.php,internal,True
1500-revolving-door.php,politica-privacidad.php,https://puertasyserviciosindustriales.com/politica-privacidad.php,internal,True
1500-revolving-door.php,puerta-contra-incendio.php,https://puertasyserviciosindustriales.com/puerta-contra-incendio.php,internal,True
1500-revolving-door.php,puertas-peatonales-hospitales.php,https://puertasyserviciosindustriales.com/puertas-peatonales-hospitales.php,internal,True
1500-revolving-door.php,puertas-salida-emergencia.php,https://puertasyserviciosindustriales.com/puertas-salida-emergencia.php,internal,True
1500-revolving-door.php,residencial.php,https://puertasyserviciosindustriales.com/residencial.php,internal,True
1500-revolving-door.php,tel:477 176 3046,tel:477 176 3046,external,UNKNOWN
accesorios.php,#,https://puertasyserviciosindustriales.com/accesorios.php,internal,True
accesorios.php,comercial.php,https://puertasyserviciosindustriales.com/comercial.php,internal,True
accesorios.php,contacto.php,https://puertasyserviciosindustriales.com/contacto.php,internal,True
accesorios.php,equipos-y-accesorios-para-anden-de-carga.php,https://puertasyserviciosindustriales.com/equipos-y-accesorios-para-anden-de-carga.php,internal,True
accesorios.php,fichas/accesorios-doorlock.pdf,https://puertasyserviciosindustriales.com/fichas/accesorios-doorlock.pdf,internal,True
accesorios.php,https://wa.me/+524771763046?text=,https://wa.me/+524771763046?text=,external,UNKNOWN
accesorios.php,index.php,https://puertasyserviciosindustriales.com/index.php,internal,True
accesorios.php,industrial.php,https://puertasyserviciosindustriales.com/industrial.php,internal,True
accesorios.php,mailto:administracion@puertasyserviciosindustriales.com,mailto:administracion@puertasyserviciosindustriales.com,external,UNKNOWN
accesorios.php,marcas.php,https://puertasyserviciosindustriales.com/marcas.php,internal,True
accesorios.php,nosotros.php,https://puertasyserviciosindustriales.com/nosotros.php,internal,True
accesorios.php,politica-privacidad.php,https://puertasyserviciosindustriales.com/politica-privacidad.php,internal,True
accesorios.php,puerta-contra-incendio.php,https://puertasyserviciosindustriales.com/puerta-contra-incendio.php,internal,True
accesorios.php,puertas-peatonales-hospitales.php,https://puertasyserviciosindustriales.com/puertas-peatonales-hospitales.php,internal,True
accesorios.php,puertas-salida-emergencia.php,https://puertasyserviciosindustriales.com/puertas-salida-emergencia.php,internal,True
accesorios.php,residencial.php,https://puertasyserviciosindustriales.com/residencial.php,internal,True
accesorios.php,tel:477 176 3046,tel:477 176 3046,external,UNKNOWN
accesspro-fs1000speed.php,#,https://puertasyserviciosindustriales.com/accesspro-fs1000speed.php,internal,True
accesspro-fs1000speed.php,comercial.php,https://puertasyserviciosindustriales.com/comercial.php,internal,True
accesspro-fs1000speed.php,contacto.php,https://puertasyserviciosindustriales.com/contacto.php,internal,True
accesspro-fs1000speed.php,equipos-y-accesorios-para-anden-de-carga.php,https://puertasyserviciosindustriales.com/equipos-y-accesorios-para-anden-de-carga.php,internal,True
accesspro-fs1000speed.php,fichas/13.0.Folleto-Operador-AccessPRO-FS1000-SPEED-hoja-tecnica.pdf,https://puertasyserviciosindustriales.com/fichas/13.0.Folleto-Operador-AccessPRO-FS1000-SPEED-hoja-tecnica.pdf,internal,True
accesspro-fs1000speed.php,https://wa.me/+524771763046?text=,https://wa.me/+524771763046?text=,external,UNKNOWN
accesspro-fs1000speed.php,index.php,https://puertasyserviciosindustriales.com/index.php,internal,True
accesspro-fs1000speed.php,industrial.php,https://puertasyserviciosindustriales.com/industrial.php,internal,True
accesspro-fs1000speed.php,mailto:administracion@puertasyserviciosindustriales.com,mailto:administracion@puertasyserviciosindustriales.com,external,UNKNOWN
accesspro-fs1000speed.php,marcas.php,https://puertasyserviciosindustriales.com/marcas.php,internal,True
accesspro-fs1000speed.php,nosotros.php,https://puertasyserviciosindustriales.com/nosotros.php,internal,True
accesspro-fs1000speed.php,politica-privacidad.php,https://puertasyserviciosindustriales.com/politica-privacidad.php,internal,True
accesspro-fs1000speed.php,puerta-contra-incendio.php,https://puertasyserviciosindustriales.com/puerta-contra-incendio.php,internal,True
accesspro-fs1000speed.php,puertas-peatonales-hospitales.php,https://puertasyserviciosindustriales.com/puertas-peatonales-hospitales.php,internal,True
accesspro-fs1000speed.php,puertas-salida-emergencia.php,https://puertasyserviciosindustriales.com/puertas-salida-emergencia.php,internal,True
accesspro-fs1000speed.php,residencial.php,https://puertasyserviciosindustriales.com/residencial.php,internal,True
accesspro-fs1000speed.php,tel:477 176 3046,tel:477 176 3046,external,UNKNOWN
automatismos-para-cancelas-cubic.php,#,https://puertasyserviciosindustriales.com/automatismos-para-cancelas-cubic.php,internal,True
automatismos-para-cancelas-cubic.php,comercial.php,https://puertasyserviciosindustriales.com/comercial.php,internal,True
automatismos-para-cancelas-cubic.php,contacto.php,https://puertasyserviciosindustriales.com/contacto.php,internal,True
automatismos-para-cancelas-cubic.php,equipos-y-accesorios-para-anden-de-carga.php,https://puertasyserviciosindustriales.com/equipos-y-accesorios-para-anden-de-carga.php,internal,True
automatismos-para-cancelas-cubic.php,https://wa.me/+524771763046?text=,https://wa.me/+524771763046?text=,external,UNKNOWN
automatismos-para-cancelas-cubic.php,index.php,https://puertasyserviciosindustriales.com/index.php,internal,True
automatismos-para-cancelas-cubic.php,industrial.php,https://puertasyserviciosindustriales.com/industrial.php,internal,True
automatismos-para-cancelas-cubic.php,mailto:administracion@puertasyserviciosindustriales.com,mailto:administracion@puertasyserviciosindustriales.com,external,UNKNOWN
automatismos-para-cancelas-cubic.php,marcas.php,https://puertasyserviciosindustriales.com/marcas.php,internal,True
automatismos-para-cancelas-cubic.php,nosotros.php,https://puertasyserviciosindustriales.com/nosotros.php,internal,True
automatismos-para-cancelas-cubic.php,politica-privacidad.php,https://puertasyserviciosindustriales.com/politica-privacidad.php,internal,True
automatismos-para-cancelas-cubic.php,puerta-contra-incendio.php,https://puertasyserviciosindustriales.com/puerta-contra-incendio.php,internal,True
automatismos-para-cancelas-cubic.php,puertas-peatonales-hospitales.php,https://puertasyserviciosindustriales.com/puertas-peatonales-hospitales.php,internal,True
automatismos-para-cancelas-cubic.php,puertas-salida-emergencia.php,https://puertasyserviciosindustriales.com/puertas-salida-emergencia.php,internal,True
automatismos-para-cancelas-cubic.php,residencial.php,https://puertasyserviciosindustriales.com/residencial.php,internal,True
automatismos-para-cancelas-cubic.php,tel:477 176 3046,tel:477 176 3046,external,UNKNOWN
barreras-estacionamiento-moovi50rm.php,#,https://puertasyserviciosindustriales.com/barreras-estacionamiento-moovi50rm.php,internal,True
barreras-estacionamiento-moovi50rm.php,comercial.php,https://puertasyserviciosindustriales.com/comercial.php,internal,True
barreras-estacionamiento-moovi50rm.php,contacto.php,https://puertasyserviciosindustriales.com/contacto.php,internal,True
barreras-estacionamiento-moovi50rm.php,equipos-y-accesorios-para-anden-de-carga.php,https://puertasyserviciosindustriales.com/equipos-y-accesorios-para-anden-de-carga.php,internal,True
barreras-estacionamiento-moovi50rm.php,fichas/moovi50rm.pdf,https://puertasyserviciosindustriales.com/fichas/moovi50rm.pdf,internal,True
barreras-estacionamiento-moovi50rm.php,https://wa.me/+524771763046?text=,https://wa.me/+524771763046?text=,external,UNKNOWN
barreras-estacionamiento-moovi50rm.php,index.php,https://puertasyserviciosindustriales.com/index.php,internal,True
barreras-estacionamiento-moovi50rm.php,industrial.php,https://puertasyserviciosindustriales.com/industrial.php,internal,True
barreras-estacionamiento-moovi50rm.php,mailto:administracion@puertasyserviciosindustriales.com,mailto:administracion@puertasyserviciosindustriales.com,external,UNKNOWN
