legacy_path,filename,detected_type,extension,used_by,usage_type,migrate,confidence,notes,file_ids,original_ids,sha256,duplicate_paths,direct_reference_count
fichas/13.0.Folleto-Operador-AccessPRO-FS1000-SPEED-hoja-tecnica (1).pdf,13.0.Folleto-Operador-AccessPRO-FS1000-SPEED-hoja-tecnica (1).pdf,application/pdf,.pdf,,PDF_APPARENTLY_UNUSED|EXACT_DUPLICATE_BYTES,REVIEW,UNKNOWN,"Referencias estaticas/SQL, no prueba de trafico ni render. Igual hash no autoriza eliminar rutas. Ausencia de referencia literal no demuestra desuso; puede haber carga dinamica o enlace externo.",,,4cc48eb0ed373eb38e12e0d90e5c5231e218c287df2b8ee51e8e8a1cda96ecf0,fichas/13.0.Folleto-Operador-AccessPRO-FS1000-SPEED-hoja-tecnica.pdf|system/files/images/productos/959c0d9393ada51bef2817e8db59c54b487d2262,0
fichas/13.0.Folleto-Operador-AccessPRO-FS1000-SPEED-hoja-tecnica.pdf,13.0.Folleto-Operador-AccessPRO-FS1000-SPEED-hoja-tecnica.pdf,application/pdf,.pdf,page:accesspro-fs1000speed.php|page:operadores-puerta-abatible.php|page:operadores-puerta-corrediza-residencial.php|page:operadores-puertas-ascendentes.php|page:q-silent-max-eagle-3-4-hp.php,PDF_USED|EXACT_DUPLICATE_BYTES,SHOULD_MIGRATE,CONFIRMED,"Referencias estaticas/SQL, no prueba de trafico ni render. Igual hash no autoriza eliminar rutas.",,,4cc48eb0ed373eb38e12e0d90e5c5231e218c287df2b8ee51e8e8a1cda96ecf0,fichas/13.0.Folleto-Operador-AccessPRO-FS1000-SPEED-hoja-tecnica (1).pdf|system/files/images/productos/959c0d9393ada51bef2817e8db59c54b487d2262,5
fichas/Abrigo-de-anden-BG400.pdf,Abrigo-de-anden-BG400.pdf,application/pdf,.pdf,page:shelter-abrigo-estacionario-blue-giant.php,PDF_USED|EXACT_DUPLICATE_BYTES,SHOULD_MIGRATE,CONFIRMED,"Referencias estaticas/SQL, no prueba de trafico ni render. Igual hash no autoriza eliminar rutas.",,,d55b3142b8b118ea54f1fbcdb3c86ca4ba23030b69c504a1021cbd0b52967d69,system/files/images/productos/b49e7cf13885d8dfdc8e03fcd247d2d93f35f213,1
fichas/accesorios-doorlock.pdf,accesorios-doorlock.pdf,application/pdf,.pdf,page:accesorios.php,PDF_USED|EXACT_DUPLICATE_BYTES,SHOULD_MIGRATE,CONFIRMED,"Referencias estaticas/SQL, no prueba de trafico ni render. Igual hash no autoriza eliminar rutas.",,,ae50b2e96f83184c1f742e2b5953ba76218ddcd686ee3ed4b686fe802a1e4cde,system/files/images/productos/552f92715162cbb278ab6cbdbdcb057ef483da65,1
fichas/Alumina-Technical-Specifications-15.pdf,Alumina-Technical-Specifications-15.pdf,application/pdf,.pdf,page:kronos-puertas-rapidas-de-sectores-modulares-autorreparable.php,PDF_USED|EXACT_DUPLICATE_BYTES,SHOULD_MIGRATE,CONFIRMED,"Referencias estaticas/SQL, no prueba de trafico ni render. Igual hash no autoriza eliminar rutas.",,,c07fe0e4b2b216fa430aa4dae40407d2298bbd201f6e5b5bc14f80e79422e370,system/files/images/productos/edaa9d68e318711d183689d070ec145da123c768,1
fichas/BGDSHS_Brochure_Sept2014_WEB.pdf,BGDSHS_Brochure_Sept2014_WEB.pdf,application/pdf,.pdf,page:shelter-abrigo-estacionario-blue-giant.php,PDF_USED|EXACT_DUPLICATE_BYTES,SHOULD_MIGRATE,CONFIRMED,"Referencias estaticas/SQL, no prueba de trafico ni render. Igual hash no autoriza eliminar rutas.",,,b257729a88482e08664cc01376267bfbb18b900b4c20bed80615404bd5d3feb3,system/files/images/productos/33f5167b521302c8c32a8895a1e03fe27a09a124,1
fichas/cdx-commercial-operator-sellsheet.pdf,cdx-commercial-operator-sellsheet.pdf,application/pdf,.pdf,page:operadores-para-puertas-de-mostrador-cdo.php,PDF_USED|EXACT_DUPLICATE_BYTES,SHOULD_MIGRATE,CONFIRMED,"Referencias estaticas/SQL, no prueba de trafico ni render. Igual hash no autoriza eliminar rutas.",,,ab12459a93c9f40a62edea1a44db215f841e677016b8ff42cfe25589882cff1d,system/files/images/productos/e255e142299e7b62e25690084deb0bb49408f332,1
fichas/Clopay-3720-07.pdf,Clopay-3720-07.pdf,application/pdf,.pdf,page:energy-series-with-intellicore-3720-3724-3722.php,PDF_USED|EXACT_DUPLICATE_BYTES,SHOULD_MIGRATE,CONFIRMED,"Referencias estaticas/SQL, no prueba de trafico ni render. Igual hash no autoriza eliminar rutas.",,,4b1e655cb7fe72789212f01e6578fba7773cfd0f2c7d4f03d968e666d3a82638,system/files/images/productos/b6b8d27db846f68a7050c59a82b2e31ff137b7e4,1
fichas/CMDC-0524SP-14-1.pdf,CMDC-0524SP-14-1.pdf,application/pdf,.pdf,page:puerta-de-acero-acanalado-modelos-524.php,PDF_USED|EXACT_DUPLICATE_BYTES,SHOULD_MIGRATE,CONFIRMED,"Referencias estaticas/SQL, no prueba de trafico ni render. Igual hash no autoriza eliminar rutas.",,,4c0e907d3846a72f5bea4da1e2f2d67d2afdaab66211045725eee9b430bdbf4e,system/files/images/productos/e1fc3c722338060ac5bc7cf2ece07503d6bc4a0c,1
fichas/CMDC-3717-3718-11.pdf,CMDC-3717-3718-11.pdf,application/pdf,.pdf,page:energy-series-with-intellicore-37171-3-4.php,PDF_USED|EXACT_DUPLICATE_BYTES,SHOULD_MIGRATE,CONFIRMED,"Referencias estaticas/SQL, no prueba de trafico ni render. Igual hash no autoriza eliminar rutas.",,,56136ae68c00fd76ee16c50cbaefabd8eb5ea8e581142f59287b5b05ab9c2ec1,system/files/images/productos/74237414514c37fbc6273d2d8ed63ba0af98464d,1
